ID,Name,Cost,Starting gold,Starting points,Transition points,Size,Maximum HP,Protection,MR,Morale,Strength,Attack,Defence,Precision,Encumbrance,AP,Attacks,Paths,Properties,Slots,Parts,Transitions,Category
f14,ko-oni spirit,"gold (221.5), onyxes (1)",0,0,3,1,5,"eye (0), head (0), body (0), arm (0), leg (0)",13,9,10,11,12,10,0,7,e67 (1),,"ethereal, chaos power (1), firstshape (13), pillage bonus (1)",misc (2),"eye (2), head (1), body (1), arm (2), leg (2)",,demon
f15,ao-oni,"gold (259), onyxes (1), sapphires (1)",0,0,3,2,14,"eye (4), head (4), body (4), arm (4), leg (4)",14,14,13,11,9,8,1,10,e160 (1),,"survives in mountains, chaos power (1), pillage bonus (1), resist cold (5), secondshape (16)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,demon
f16,ao-oni spirit,"gold (245), onyxes (3), pearls (1)",0,0,3,2,7,"eye (0), head (0), body (0), arm (0), leg (0)",14,14,13,11,9,8,0,10,e67 (1),,"ethereal, chaos power (1), firstshape (15), pillage bonus (1), resist poison (25)",misc (2),"eye (2), head (1), body (1), arm (2), leg (2)",,demon
f17,aka-oni,"gold (245), onyxes (1), rubies (1)",0,0,3,2,14,"eye (4), head (4), body (4), arm (4), leg (4)",14,14,13,11,9,8,1,10,e383 (1),,"survives in mountains, chaos power (1), pillage bonus (1), resist fire (5), secondshape (18)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,demon
f18,aka-oni spirit,"gold (243), onyxes (3), pearls (1)",0,0,3,2,7,"eye (0), head (0), body (0), arm (0), leg (0)",14,14,13,11,9,8,0,10,e67 (1),,"ethereal, chaos power (1), firstshape (17), pillage bonus (1), resist poison (25)",misc (2),"eye (2), head (1), body (1), arm (2), leg (2)",,demon
f19,oni,"gold (311), onyxes (1), pearls (1)",0,0,4,3,24,"eye (6), head (6), body (6), arm (6), leg (6)",15,15,16,12,11,9,1,14,,,"survives in mountains, chaos power (1), pillage bonus (1), secondshape (20)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,demon
f20,oni spirit,"gold (303), onyxes (3), pearls (1)",0,0,4,3,12,"eye (0), head (0), body (0), arm (0), leg (0)",15,15,16,12,11,9,0,14,e67 (1),,"ethereal, chaos power (1), firstshape (19), pillage bonus (1), resist poison (25)",misc (2),"eye (2), head (1), body (1), arm (2), leg (2)",,demon
f21,kuro-oni,"gold (317), onyxes (2), rubies (1)",0,0,5,3,24,"eye (6), head (6), body (6), arm (6), leg (6)",15,15,16,12,11,9,1,14,,,"survives in mountains, chaos power (1), pillage bonus (1), resist fire (5), resist poison (5), secondshape (22)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,demon
f22,kuro-oni spirit,"gold (303), onyxes (3), pearls (1)",0,0,4,3,12,"eye (0), head (0), body (0), arm (0), leg (0)",15,15,16,12,11,9,0,14,e67 (1),,"ethereal, chaos power (1), firstshape (20), pillage bonus (1), resist poison (25)",misc (2),"eye (2), head (1), body (1), arm (2), leg (2)",,demon
f23,shikome,"gold (316.5), onyxes (1), rubies (1), sapphires (1)",0,0,5,2,15,"eye (5), head (5), body (5), arm (5), leg (5)",15,15,12,13,13,10,2,14,e529 (2),,"female, berserk (4), resist cold (5), resist fire (5), resist poison (15)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,demon
f24,dai bakemono,gold (261.5),0,0,3,3,20,"eye (3), head (3), body (3), arm (3), leg (3)",11,13,15,11,11,10,2,14,,,"survives in mountains, darkvision (50)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f25,o-bakemono,gold (268.5),0,0,3,3,28,"eye (7), head (7), body (7), arm (7), leg (7)",8,14,19,10,9,8,2,14,,,"survives in mountains, darkvision (50)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f26,atlantian,gold (171.5),20,2,0,2,12,"eye (2), head (2), body (2), arm (2), leg (2)",10,10,11,10,9,8,3,12,,,"amphibian, darkvision (50)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f27, f28","amphibian, starting form"
f27,deep one,"gold (205), rubies (1), sapphires (1)",0,0,2,2,14,"eye (4), head (4), body (4), arm (4), leg (4)",8,12,12,10,7,7,3,9,"e20 (1), e29 (1)",,"amphibian, darkvision (100), resist cold (5), resist fire (5)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f29, f169, f188, f189",amphibian
f28,shambler,gold (247.5),0,0,3,3,22,"eye (7), head (7), body (7), arm (7), leg (7)",10,11,15,10,9,8,3,11,e29 (2),,"amphibian, darkvision (50)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f29, f188, f189",amphibian
f29,shambler of the deep,"gold (278), rubies (1), sapphires (1)",0,0,4,3,26,"eye (9), head (9), body (9), arm (9), leg (9)",7,13,16,10,7,8,3,12,"e20 (1), e29 (2)",,"amphibian, darkvision (100), resist cold (5), resist fire (5)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f192,amphibian
f30,deep one sleeper,"gold (312.5), rubies (1), sapphires (1)",0,0,4,3,31,"eye (9), head (9), body (9), arm (9), leg (9)",13,15,18,11,7,8,3,12,"e20 (1), e29 (2)",,"amphibian, castle defence (2), darkvision (100), resist cold (5), resist fire (5), void sanity (15)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,amphibian
f31,vaetti hag,gold (119),0,0,0,1,7,"eye (0), head (0), body (0), arm (0), leg (0)",14,9,7,7,7,10,3,10,e543 (1),"astral (0.25), blood (0.25), death (0.25), nature (0.25)","survives in forests, stealthy (40)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f32,chak muuch,"gold (193), emeralds (1)",0,0,4,2,14,"eye (2), head (2), body (2), arm (2), leg (2)",11,11,12,10,9,11,4,10,,,"amphibian, survives in swamps, darkvision (50), poison skin (20)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,amphibian
f33,wo' muuch,gold (245),0,0,3,3,26,"eye (6), head (6), body (6), arm (6), leg (6)",10,14,16,11,10,8,4,11,,,"amphibian, survives in swamps, darkvision (100)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f187,amphibian
f34,sak muuch,gold (165),18,2,0,2,14,"eye (2), head (2), body (2), arm (2), leg (2)",10,10,12,10,9,8,4,10,,,"amphibian, survives in swamps, darkvision (100)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f32, f33","amphibian, starting form"
f35,centaur,"gold (294.5), emeralds (1)",0,0,4,3,20,"eye (3), head (3), body (3), arm (3), leg (3)",13,11,13,10,14,12,3,30,e55 (1),,"survives in forests, recuperation, stealthy (40)","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,tagless
f36,centauride,"gold (296), emeralds (1)",0,0,4,3,18,"eye (3), head (3), body (3), arm (3), leg (3)",13,11,12,10,15,13,3,32,e55 (1),,"female, recuperation, survives in forests, stealthy (40)","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,tagless
f37,sacred centaur,"gold (316.5), emeralds (1)",0,0,4,3,23,"eye (3), head (3), body (3), arm (3), leg (3)",14,12,14,11,14,13,3,30,e55 (1),,"recuperation, survives in forests, stealthy (40)","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,tagless
f38,white centauride,"gold (316), emeralds (1)",0,0,4,3,20,"eye (3), head (3), body (3), arm (3), leg (3)",14,13,12,11,16,13,3,32,e55 (1),"water (0.5), nature (0.5), holy (0)","female, recuperation, survives in forests, stealthy (40)","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,tagless
f39,chud skinshifter,"gold (321), sapphires (1), emeralds (1)",0,0,5,2,18,"eye (2), head (2), body (2), arm (2), leg (2)",13,13,14,11,11,10,2,14,,,"berserk (1), resist cold (5), secondshape (102), recuperation","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f40,black centauride,"gold (316), emeralds (1)",0,0,4,3,20,"eye (3), head (3), body (3), arm (3), leg (3)",14,13,12,11,16,13,3,32,e55 (1),"death (0.5), nature (0.5), water (0.1), holy (0)","female, recuperation, survives in forests, stealthy (40)","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,tagless
f41,minotaur,"gold (251.5), emeralds (1)",0,0,3,3,25,"eye (4), head (4), body (4), arm (4), leg (4)",11,13,16,8,8,8,3,15,,,"recuperation, survives in forests, trample, berserk (4)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f42,civilised minotaur,"gold (262.5), emeralds (1)",0,0,3,3,23,"eye (4), head (4), body (4), arm (4), leg (4)",10,14,16,9,9,8,3,15,,,"recuperation, survives in forests, trample","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f43,white minotaur,"gold (290.5), emeralds (1)",0,0,4,3,26,"eye (5), head (5), body (5), arm (5), leg (5)",13,13,17,10,10,8,3,15,,,"recuperation, survives in forests, trample, berserk (4)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f44,longdead,"gold (311.5), onyxes (3), sapphires (2)",0,0,600,2,5,"eye (0), head (0), body (0), arm (0), leg (0)",9,50,10,11,9,10,0,11,,,"does-not-heal, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f45,longdead c'tissian,"gold (316), onyxes (3), sapphires (2)",0,0,600,2,6,"eye (0), head (0), body (0), arm (0), leg (0)",11,50,10,11,9,10,0,10,,,"does-not-heal, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f46,longdead predator lizard,"gold (333), onyxes (3), sapphires (2)",0,0,700,2,7,"eye (0), head (0), body (0), arm (0), leg (0)",10,50,11,12,7,10,0,11,e20 (1),,"does-not-heal, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f47,longdead rephaite,"gold (392), onyxes (3), sapphires (2)",0,0,800,4,20,"eye (0), head (0), body (0), arm (0), leg (0)",10,50,20,12,10,5,0,14,,,"does-not-heal, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f48,longdead jotun,"gold (364.5), onyxes (3), sapphires (2)",0,0,700,4,15,"eye (0), head (0), body (0), arm (0), leg (0)",10,50,20,11,9,5,0,12,,,"does-not-heal, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f49,longdead markata,"gold (297), onyxes (3), sapphires (2)",0,0,600,1,3,"eye (0), head (0), body (0), arm (0), leg (0)",8,50,5,11,12,8,0,10,,,"does-not-heal, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f50,longdead vanara,"gold (313.5), onyxes (3), sapphires (2)",0,0,600,2,5,"eye (1), head (1), body (1), arm (1), leg (1)",9,50,10,11,9,10,0,10,,,"does-not-heal, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f51,longdead bandar,"gold (349), onyxes (3), sapphires (2)",0,0,700,3,11,"eye (2), head (2), body (2), arm (2), leg (2)",9,50,15,12,8,9,0,11,,,"does-not-heal, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f52,longdead partholonian,"gold (385), onyxes (3), sapphires (2)",0,0,800,2,9,"eye (0), head (0), body (0), arm (0), leg (0)",13,50,13,14,12,12,0,13,,,"does-not-heal, glamour, lifeless, mindless, poor amphibian, resist pierce, resist cold (15), resist poison (25), stealthy (65)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,undead
f53,dog,gold (121),0,0,0,1,7,"eye (2), head (2), body (2), leg (2)",5,11,7,11,11,5,2,24,e322 (1),,"animal, stealthy (40)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,animal
f54,sea dog,gold (167),40,4,0,2,14,"eye (7), head (7), body (7), leg (7)",6,11,10,11,11,5,2,12,e322 (1),,"amphibian, animal","body (1), misc (2)","eye (2), head (1), body (1), leg (4)","f73, f200, f201, f202, f203","animal, amphibian, starting form"
f55,wolf,gold (139.5),0,0,1,2,8,"eye (2), head (2), body (2), leg (2)",5,12,9,11,11,5,2,26,e322 (1),,"animal, survives in forests, survives in mountains, stealthy (40)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,animal
f56,black dog,gold (178.5),0,0,1,2,14,"eye (4), head (4), body (4), leg (4)",13,13,13,12,10,5,2,24,e322 (1),,"animal, darkvision (100), dark power (2), stealthy (60)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,animal
f57,dire wolf,gold (228),0,0,3,3,23,"eye (7), head (7), body (7), leg (7)",5,13,15,13,11,5,2,28,e322 (1),,"animal, survives in forests, survives in mountains, stealthy (40), darkvision (50)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,animal
f58,cu sidhe,gold (253.5),0,0,3,3,26,"eye (7), head (7), body (7), leg (7)",14,14,15,13,12,5,2,28,e322 (1),,"animal, survives in forests, stealthy (40), darkvision (50)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,animal
f59,barghest,gold (252),0,0,3,3,28,"eye (6), head (6), body (6), leg (6)",15,14,16,13,11,5,2,26,e223 (1),,"animal, darkvision (100), dark power (3), stealthy (60)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,animal
f60,jotun wolf,"gold (317.5), sapphires (2)",0,0,4,4,30,"eye (9), head (9), body (9), leg (9)",14,17,23,13,11,5,2,28,"e322 (1), e29 (1)",,"animal, survives in forests, berserk (3), resist cold (15)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,animal
f61,skinshifter,"gold (292.5), emeralds (1)",0,0,4,2,13,"eye (0), head (0), body (0), arm (0), leg (0)",10,12,12,10,10,10,2,13,,,"survives in forests, regeneration (2), secondshape (62)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f39,tagless
f62,werewolf,"gold (337), emeralds (1)",0,0,5,3,20,"eye (6), head (6), body (6), arm (6), leg (6)",12,17,14,13,11,5,2,14,"e20 (1), e29 (2)",,"survives in forests, firstshape (61), regeneration (3)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,tagless
f63,vaetti,gold (158.5),30,3,0,1,8,"eye (0), head (0), body (0), arm (0), leg (0)",12,9,9,10,10,10,3,10,,,"survives in forests, stealthy (40)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f31, f61, f78","starting form, tagless"
f64,predator lizard,gold (200),10,2,0,2,13,"eye (3), head (3), body (3), arm (3), leg (3)",11,11,11,11,8,10,4,11,e20 (1),,"cold-blooded, survives in swamps, resist poison (5)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f69, f185","cold-blooded, starting form"
f65,lamia,"gold (336), emeralds (7)",0,0,5,2,14,"eye (5), head (5), body (5), arm (5), leg (5)",13,15,12,11,9,10,3,12,"e63 (1), e29 (1)",,"cold-blooded, female, survives in forests, survives in swamps, resist poison (15), regeneration (7), shapechange (66)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,cold-blooded
f66,black serpent,"gold (336), emeralds (7)",0,0,5,3,22,"eye (8), head (8), body (8)",13,15,12,14,7,10,3,8,e239 (1),,"cold-blooded, survives in forests, survives in swamps, shapechange (65), resist poison (15), regeneration (11)","body (1), misc (2)","eye (2), head (1), body (1)",,cold-blooded
f67,naga,"gold (236), emeralds (1)",0,0,3,3,16,"eye (5), head (5), body (5), arm (5)",13,11,12,10,11,10,4,10,e239 (1),,"amphibian, cold-blooded, survives in swamps, darkvision (75), resist poison (10)","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2)",,"cold-blooded, magic being"
f68,pale one,gold (175),15,2,0,3,18,"eye (2), head (2), body (2), arm (2), leg (2)",12,10,12,8,8,7,3,10,,,"cold-blooded, darkvision (100), siegebonus (2)","hands (2), head (1), body (1), feet (1), misc (2)","eye (1), head (1), body (1), arm (2), leg (2)","f158, f159, f171, f174, f181, f183, category, cold-blooded, starting form","cold-blooded, starting form"
f69,sobek,"gold (272.5), emeralds (1)",0,0,4,3,25,"eye (8), head (8), body (8), arm (8), leg (8)",13,13,14,12,9,8,4,12,e20 (1),,"cold-blooded, survives in swamps, resist poison (8)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f70, f198",cold-blooded
f70,old sobek,"gold (328.5), emeralds (1)",0,0,5,4,37,"eye (9), head (9), body (9), arm (9), leg (9)",14,14,16,13,9,8,4,12,e20 (1),,"cold-blooded, survives in swamps, resist poison (8)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,cold-blooded
f71,red troglodyte,gold (356),0,0,5,4,37,"eye (7), head (7), body (7), arm (7), leg (7)",8,14,23,12,9,5,2,16,e29 (2),,"animal, trample, darkvision (100)","hands (2), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f72,animal
f72,black troglodyte,gold (392.5),0,0,6,4,43,"eye (9), head (9), body (9), arm (9), leg (9)",8,15,24,13,10,5,2,16,e29 (2),,"animal, trample, darkvision (100)","hands (2), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,animal
f73,cave spider,"gold (223), emeralds (2)",0,0,3,4,15,"eye (8), head (8), body (8), leg (8)",5,10,9,12,10,5,2,14,"e65 (1), e261 (1)",,"animal, darkvision (100), resist poison (15)","body (1), misc (2)","eye (8), head (1), body (1), leg (8)",f74,animal
f74,great spider,"gold (295.5), emeralds (2)",0,0,4,5,26,"eye (14), head (14), body (14), leg (14)",5,10,11,12,10,10,2,14,"e65 (1), e261 (1)",,"animal, survives in forests, resist poison (15)","body (1), misc (2)","eye (8), head (1), body (1), leg (8)",f75,animal
f75,hunter spider,"gold (409.5), emeralds (2)",0,0,6,6,55,"eye (16), head (16), body (16), leg (16)",5,14,16,14,12,5,2,22,"e65 (1), e261 (1)",,"animal, survives in forests, resist poison (15)","body (1), misc (2)","eye (8), head (1), body (1), leg (8)",,animal
f76,small xibalban scorpion,"gold (196), emeralds (2)",0,0,2,3,16,"eye (12), head (12), body (12), leg (12)",8,15,14,11,7,3,2,8,"e29 (1), e423 (1)",,"animal, survives in wastes, darkvision (100), resist poison (15)","body (1), misc (2)","eye (8), head (1), body (1), arm (2), leg (8)",f77,animal
f77,xibalban scorpion,"gold (330.5), emeralds (2)",0,0,5,5,48,"eye (17), head (17), body (17), leg (17)",12,15,17,13,7,3,2,8,"e29 (1), e423 (1)",,"animal, survives in wastes, darkvision (100), resist poison (15)","body (1), misc (2)","eye (8), head (1), body (1), arm (2), leg (8)",,animal
f78,chud,"gold (244), sapphires (1)",0,0,3,2,17,"eye (2), head (2), body (2), arm (2), leg (2)",12,13,13,12,12,10,3,14,,,resist cold (5),"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f39, f139",tagless
f79,vanara,gold (174),15,2,0,2,10,"eye (1), head (1), body (1), arm (1), leg (1)",8,9,10,10,10,10,3,10,,,"animal, survives in forests","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f3, f80, f82","animal, starting form"
f80,bandar,gold (219.5),0,0,2,3,18,"eye (3), head (3), body (3), arm (3), leg (3)",8,12,15,11,9,9,3,10,,,"animal, survives in forests","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,animal
f81,kala-mukha,gold (263),0,0,3,3,24,"eye (4), head (4), body (4), arm (4), leg (4)",10,14,18,12,10,9,3,10,,,"animal, survives in forests, darkvision (50)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,animal
f82,white one,gold (182.5),0,0,1,2,11,"eye (1), head (1), body (1), arm (1), leg (1)",11,12,10,10,10,10,3,10,,,"animal, survives in forests, reincarnation (1)","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f207,animal
f83,great lion,gold (209.5),0,0,2,3,20,"eye (4), head (4), body (4), leg (4)",5,13,15,13,11,5,3,20,"e29 (1), e322 (1)",,animal,"body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,animal
f84,kithaironic lion,gold (357.5),0,0,5,3,31,"eye (18), head (18), body (18), leg (18)",13,15,18,14,12,5,1,18,"e29 (1), e322 (1)",,"animal, magic being, resist pierce, resist slash, survives in forests","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,"animal, magic being"
f85,green lion,"gold (462), emeralds (2), pearls (1), rubies (2)",0,0,8,3,34,"eye (7), head (7), body (7), leg (7)",16,50,16,14,12,12,0,18,"e29 (1), e322 (1)",,"animal, ethereal, magic being, mindless, resist fire (15), resist poison (15)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,"animal, magic being"
f86,summer lion,"gold (508.5), emeralds (2), pearls (1), rubies (7)",0,0,9,3,44,"eye (0), head (0), body (0), leg (0)",15,50,17,14,12,5,0,18,"e29 (1), e322 (1)",,"animal, ethereal, magic being, mindless, survives in wastes, heat aura (3), resist fire (60), resist poison (15), summer power (25)","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,"animal, magic being"
f87,draco lion,"gold (447), emeralds (1)",0,0,7,6,70,"eye (12), head (12), body (12), leg (12), wing (12)",12,15,20,10,7,12,3,15,"e29 (1), e322 (1)",,"animal, flying, survives in forests, survives in mountains, regeneration (7)","body (1), misc (2)","eye (2), head (1), body (1), leg (4), wing (2)",,animal
f88,celestial lion,"gold (691.5), pearls (19), rubies (11)",0,0,15,6,145,"eye (12), head (12), body (12), leg (12), wing (12)",18,30,26,15,12,10,2,22,"e29 (2), e322 (1)","astral (1), fire (1)","flying, fear (5), resist fire (2)","body (1), misc (2)","eye (2), head (1), body (1), leg (4), wing (2)",,pretender
